Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,DonKac11,Ford Escort RS Cosworth,00:09:36.4760000,00:00:00,00:00:00,PSN,
2,Pablitas555,Lancia Delta HF Integrale,00:09:39.9050000,00:00:00,00:00:03.4290000,PSN,
3,Justokas,SUBARU Legacy RS,00:09:42.6490000,00:00:00,00:00:06.1730000,STEAM,
4,PALiX00,Lancia Delta HF Integrale,00:09:56.9940000,00:00:00,00:00:20.5180000,STEAM,
5,ltukj72,SUBARU Impreza 1995,00:10:01.1360000,00:00:05,00:00:24.6600000,STEAM,
6,-Aleliumbas-,Lancia Delta HF Integrale,00:10:49.4270000,00:00:00,00:01:12.9510000,STEAM,
7,BartasLT,SUBARU Impreza 1995,00:10:55.5720000,00:00:05,00:01:19.0960000,XBOX,
8,vadishius,Lancia Delta HF Integrale,00:11:28.5010000,00:00:10,00:01:52.0250000,STEAM,
9,citradex,SUBARU Impreza 1995,00:11:53.1090000,00:00:05,00:02:16.6330000,STEAM,
10,gruduvinis,Lancia Delta HF Integrale,00:13:58.6570000,00:00:00,00:04:22.1810000,STEAM,
11,ItalasLT,Lancia Delta HF Integrale,00:25:00,00:25:00,00:15:23.5240000,STEAM,
