Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,FearLesscze,ŠKODA Fabia RS Rally2,00:10:12.6850000,00:00:00,00:00:00,STEAM,
2,ltukj72,ŠKODA Fabia RS Rally2,00:10:16.5890000,00:00:00,00:00:03.9040000,STEAM,
3,3skimas,ŠKODA Fabia RS Rally2,00:10:22.1100000,00:00:00,00:00:09.4250000,STEAM,
4,DonKac11,ŠKODA Fabia RS Rally2,00:10:22.6160000,00:00:05,00:00:09.9310000,PSN,
5,Pablitas555,ŠKODA Fabia Rally2 Evo,00:10:23.1570000,00:00:00,00:00:10.4720000,PSN,
6,The_Bad_X11,ŠKODA Fabia RS Rally2,00:10:36.4740000,00:00:00,00:00:23.7890000,XBOX,
7,PALiX00,ŠKODA Fabia RS Rally2,00:10:38.8160000,00:00:00,00:00:26.1310000,STEAM,
8,Balint2105,Hyundai i20 N Rally2,00:10:41.7250000,00:00:08,00:00:29.0400000,XBOX,
9,NiviDzimka,ŠKODA Fabia RS Rally2,00:10:42.1840000,00:00:00,00:00:29.4990000,EA,
10,Liekorius,ŠKODA Fabia RS Rally2,00:10:48.5500000,00:00:00,00:00:35.8650000,STEAM,
11,-Aleliumbas-,ŠKODA Fabia RS Rally2,00:10:52.3000000,00:00:00,00:00:39.6150000,STEAM,
12,RallyFanatikai,ŠKODA Fabia RS Rally2,00:10:57.1900000,00:00:05,00:00:44.5050000,STEAM,
13,Wycka2007,ŠKODA Fabia RS Rally2,00:11:00.8930000,00:00:00,00:00:48.2080000,PSN,
14,Justokas,Volkswagen Polo GTI R5,00:11:01.4700000,00:00:00,00:00:48.7850000,STEAM,
15,BartasLT,ŠKODA Fabia RS Rally2,00:11:09.0940000,00:00:00,00:00:56.4090000,XBOX,
16,ItalasLT,Ford Fiesta Rally2,00:11:19.0810000,00:00:06,00:01:06.3960000,STEAM,
17,TerryMakichut,ŠKODA Fabia RS Rally2,00:12:09.4190000,00:00:00,00:01:56.7340000,STEAM,
18,gruduvinis,ŠKODA Fabia RS Rally2,00:12:57.4680000,00:00:00,00:02:44.7830000,STEAM,
19,vadishius,ŠKODA Fabia RS Rally2,00:25:00,00:25:00,00:14:47.3150000,STEAM,
20,citradex,ŠKODA Fabia RS Rally2,00:25:00,00:25:00,00:14:47.3150000,STEAM,
