Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,DonKac11,ŠKODA Fabia RS Rally2,00:05:47.1680000,00:00:00,00:00:00,PSN,
2,AlfaaLTU,ŠKODA Fabia RS Rally2,00:05:51.1280000,00:00:00,00:00:03.9600000,PSN,
3,VoidRob0t,Hyundai i20 N Rally2,00:05:58.6050000,00:00:00,00:00:11.4370000,STEAM,
4,ltukj72,ŠKODA Fabia RS Rally2,00:06:04.2570000,00:00:00,00:00:17.0890000,STEAM,
5,NiviDzimka,ŠKODA Fabia Rally2 Evo,00:06:05.3740000,00:00:00,00:00:18.2060000,EA,
6,vadishius,Ford Fiesta Rally2,00:06:12.2070000,00:00:00,00:00:25.0390000,STEAM,
7,BartasLT,ŠKODA Fabia RS Rally2,00:06:12.9990000,00:00:00,00:00:25.8310000,XBOX,
8,RallyFanatikai,ŠKODA Fabia RS Rally2,00:06:13.2800000,00:00:00,00:00:26.1120000,STEAM,
9,justux132,Ford Fiesta Rally2,00:06:14.1300000,00:00:00,00:00:26.9620000,STEAM,
10,-Aleliumbas-,Ford Fiesta Rally2,00:06:17.8570000,00:00:00,00:00:30.6890000,STEAM,
11,TerryMakichut,ŠKODA Fabia RS Rally2,00:06:19.4790000,00:00:06,00:00:32.3110000,STEAM,
12,PALiX00,WRC2 Builder Vehicle,00:06:21.0360000,00:00:00,00:00:33.8680000,STEAM,
13,Pablitas555,ŠKODA Fabia RS Rally2,00:06:23.4150000,00:00:05,00:00:36.2470000,PSN,
14,MartynasLy,ŠKODA Fabia RS Rally2,00:06:24.0710000,00:00:10,00:00:36.9030000,XBOX,
15,Liekorius,ŠKODA Fabia RS Rally2,00:06:24.9210000,00:00:00,00:00:37.7530000,STEAM,
16,3skimas,ŠKODA Fabia RS Rally2,00:06:30.5020000,00:00:00,00:00:43.3340000,STEAM,
17,Wycka2007,ŠKODA Fabia RS Rally2,00:06:32.9640000,00:00:00,00:00:45.7960000,PSN,
18,Justokas,Volkswagen Polo GTI R5,00:06:34.0800000,00:00:00,00:00:46.9120000,STEAM,
19,laapiuks,ŠKODA Fabia RS Rally2,00:06:35.2190000,00:00:00,00:00:48.0510000,EA,
20,Ged256,Ford Fiesta Rally2,00:06:46.1900000,00:00:00,00:00:59.0220000,STEAM,
21,Rytisklim,ŠKODA Fabia Rally2 Evo,00:06:49.4110000,00:00:00,00:01:02.2430000,STEAM,
22,JojoHopkins07,Hyundai i20 N Rally2,00:06:54.7110000,00:00:05,00:01:07.5430000,PSN,
23,ADAs011,ŠKODA Fabia RS Rally2,00:07:19.1370000,00:00:05,00:01:31.9690000,PSN,
24,The_Bad_X11,ŠKODA Fabia RS Rally2,00:07:23.3120000,00:00:05,00:01:36.1440000,XBOX,
25,gruduvinis,ŠKODA Fabia RS Rally2,00:07:32.9890000,00:00:00,00:01:45.8210000,STEAM,
26,ItalasLT,Volkswagen Polo GTI R5,00:07:35.3450000,00:00:35,00:01:48.1770000,STEAM,
27,citradex,Hyundai i20 N Rally2,00:07:38.0810000,00:00:00,00:01:50.9130000,STEAM,
28,14157o,ŠKODA Fabia RS Rally2,00:16:00,00:16:00,00:10:12.8320000,XBOX,
