Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,DonKac11,Ford Escort RS Cosworth,00:09:44.6590000,00:00:00,00:00:00,PSN,
2,Pablitas555,Ford Escort RS Cosworth,00:09:56.9550000,00:00:00,00:00:12.2960000,PSN,
3,ltukj72,SUBARU Impreza 1995,00:09:57.7730000,00:00:05,00:00:13.1140000,STEAM,
4,RallyFanatikai,Lancia Delta HF Integrale,00:09:59.6560000,00:00:00,00:00:14.9970000,STEAM,
5,ItalasLT,Lancia Delta HF Integrale,00:10:11.8380000,00:00:00,00:00:27.1790000,STEAM,
6,Justokas,SUBARU Legacy RS,00:10:28.1410000,00:00:05,00:00:43.4820000,STEAM,
7,BartasLT,SUBARU Impreza 1995,00:10:36.5990000,00:00:00,00:00:51.9400000,XBOX,
8,PALiX00,Lancia Delta HF Integrale,00:10:37.3740000,00:00:00,00:00:52.7150000,STEAM,
9,-Aleliumbas-,SUBARU Impreza 1995,00:10:48.4980000,00:00:00,00:01:03.8390000,STEAM,
10,vadishius,SUBARU Impreza 1995,00:11:17.8480000,00:00:00,00:01:33.1890000,STEAM,
11,citradex,SUBARU Impreza 1995,00:25:00,00:25:00,00:15:15.3410000,STEAM,
