Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,3skimas,ŠKODA Fabia RS Rally2,00:06:32.8030000,00:00:00,00:00:00,STEAM,
2,AlfaaLTU,Hyundai i20 N Rally2,00:06:32.9910000,00:00:00,00:00:00.1880000,PSN,
3,Pablitas555,ŠKODA Fabia RS Rally2,00:06:35.9140000,00:00:00,00:00:03.1110000,PSN,
4,DonKac11,ŠKODA Fabia RS Rally2,00:06:37.6670000,00:00:00,00:00:04.8640000,PSN,
5,VoidRob0t,Toyota GR Yaris Rally2,00:06:45.3960000,00:00:00,00:00:12.5930000,STEAM,
6,NiviDzimka,Toyota GR Yaris Rally2,00:06:51.0800000,00:00:00,00:00:18.2770000,EA,
7,RallyFanatikai,ŠKODA Fabia RS Rally2,00:06:55.5560000,00:00:00,00:00:22.7530000,STEAM,
8,TerryMakichut,ŠKODA Fabia RS Rally2,00:07:03.3620000,00:00:00,00:00:30.5590000,STEAM,
9,vadishius,Toyota GR Yaris Rally2,00:07:21.7410000,00:00:00,00:00:48.9380000,STEAM,
10,Ged256,Ford Fiesta Rally2,00:07:26.4140000,00:00:00,00:00:53.6110000,STEAM,
11,BartasLT,ŠKODA Fabia RS Rally2,00:07:43.6860000,00:00:00,00:01:10.8830000,XBOX,
12,PALiX00,WRC2 Builder Vehicle,00:07:47.3170000,00:00:23,00:01:14.5140000,STEAM,
13,Justokas,Volkswagen Polo GTI R5,00:16:00,00:16:00,00:09:27.1970000,STEAM,
14,Liekorius,ŠKODA Fabia RS Rally2,00:16:00,00:16:00,00:09:27.1970000,STEAM,
15,Rytisklim,Ford Fiesta Rally2,00:16:00,00:16:00,00:09:27.1970000,STEAM,
16,-Aleliumbas-,Ford Fiesta Rally2,00:16:00,00:16:00,00:09:27.1970000,STEAM,
17,citradex,Ford Fiesta Rally2,00:16:00,00:16:00,00:09:27.1970000,STEAM,
18,Andreliks,ŠKODA Fabia RS Rally2,00:16:00,00:16:00,00:09:27.1970000,PSN,
19,gruduvinis,ŠKODA Fabia RS Rally2,00:16:00,00:16:00,00:09:27.1970000,STEAM,
