Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,DonKac11,Ford Escort RS Cosworth,00:09:35.2920000,00:00:00,00:00:00,PSN,
2,Pablitas555,Ford Escort RS Cosworth,00:09:37.9990000,00:00:00,00:00:02.7070000,PSN,
3,ItalasLT,Lancia Delta HF Integrale,00:09:51.6720000,00:00:05,00:00:16.3800000,STEAM,
4,PALiX00,SUBARU Impreza 1995,00:09:53.0450000,00:00:00,00:00:17.7530000,STEAM,
5,-Aleliumbas-,SUBARU Impreza 1995,00:09:57.7040000,00:00:00,00:00:22.4120000,STEAM,
6,Justokas,SUBARU Legacy RS,00:10:02.4210000,00:00:00,00:00:27.1290000,STEAM,
7,BartasLT,SUBARU Impreza 1995,00:10:17.0770000,00:00:00,00:00:41.7850000,XBOX,
8,EvilMe93,SUBARU Impreza 1995,00:10:21.0640000,00:00:19,00:00:45.7720000,STEAM,
9,Eddie_Race,SUBARU Impreza 1995,00:10:30.3350000,00:00:06,00:00:55.0430000,STEAM,
10,citradex,SUBARU Impreza 1995,00:11:30.6340000,00:00:05,00:01:55.3420000,STEAM,
11,gruduvinis,SUBARU Impreza 1995,00:12:01.5620000,00:00:00,00:02:26.2700000,STEAM,
