Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,ltukj72,Toyota GR Yaris Rally2,00:07:53.9570000,00:00:00,00:00:00,STEAM,
2,DonKac11,Toyota GR Yaris Rally2,00:07:56.4810000,00:00:00,00:00:02.5240000,PSN,
3,Liekorius,ŠKODA Fabia RS Rally2,00:07:59.2830000,00:00:00,00:00:05.3260000,STEAM,
4,Pablitas555,Toyota GR Yaris Rally2,00:08:04.5060000,00:00:00,00:00:10.5490000,PSN,
5,EvilMe93,Toyota GR Yaris Rally2,00:08:04.9470000,00:00:00,00:00:10.9900000,STEAM,
6,PALiX00,WRC2 Builder Vehicle,00:08:05.1620000,00:00:00,00:00:11.2050000,STEAM,
7,ItalasLT,Toyota GR Yaris Rally2,00:08:05.6940000,00:00:00,00:00:11.7370000,STEAM,
8,TerryMakichut,ŠKODA Fabia RS Rally2,00:08:06.3170000,00:00:00,00:00:12.3600000,STEAM,
9,BartasLT,ŠKODA Fabia RS Rally2,00:08:09.4580000,00:00:00,00:00:15.5010000,XBOX,
10,RallyFanatikai,Toyota GR Yaris Rally2,00:08:11.5930000,00:00:00,00:00:17.6360000,STEAM,
11,Mantas95_LT,Toyota GR Yaris Rally2,00:08:12.5400000,00:00:00,00:00:18.5830000,PSN,
12,Rebl11,ŠKODA Fabia RS Rally2,00:08:16.8950000,00:00:11,00:00:22.9380000,STEAM,
13,z3pis,Volkswagen Polo GTI R5,00:08:16.9050000,00:00:00,00:00:22.9480000,STEAM,
14,Justokas,Volkswagen Polo GTI R5,00:08:22.5000000,00:00:00,00:00:28.5430000,STEAM,
15,-Aleliumbas-,Hyundai i20 N Rally2,00:08:23.4510000,00:00:00,00:00:29.4940000,STEAM,
16,Ged256,Ford Fiesta Rally2,00:08:30.1820000,00:00:00,00:00:36.2250000,STEAM,
17,vadishius,Toyota GR Yaris Rally2,00:08:51.7230000,00:00:00,00:00:57.7660000,STEAM,
18,Wycka2007,Toyota GR Yaris Rally2,00:08:59.1460000,00:00:08,00:01:05.1890000,PSN,
19,gruduvinis,ŠKODA Fabia Rally2 Evo,00:09:36.9660000,00:00:05,00:01:43.0090000,STEAM,
20,citradex,ŠKODA Fabia RS Rally2,00:11:12.3090000,00:00:17,00:03:18.3520000,STEAM,
