Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,Rebl11,ŠKODA Fabia RS Rally2,00:11:05.6350000,00:00:00,00:00:00,STEAM,
2,LtuDK,WRC2 Builder Vehicle,00:11:18.8440000,00:00:00,00:00:13.2090000,STEAM,
3,Liekorius,Toyota GR Yaris Rally2,00:11:34.9820000,00:00:00,00:00:29.3470000,STEAM,
4,PALiX00,ŠKODA Fabia RS Rally2,00:11:35.9470000,00:00:00,00:00:30.3120000,STEAM,
5,Pablitas555,Toyota GR Yaris Rally2,00:11:36.2210000,00:00:00,00:00:30.5860000,PSN,
6,vadishius,Toyota GR Yaris Rally2,00:11:40.6240000,00:00:00,00:00:34.9890000,STEAM,
7,ItalasLT,Citroën C3 Rally2,00:11:43.6170000,00:00:00,00:00:37.9820000,STEAM,
8,RallyFanatikai,Toyota GR Yaris Rally2,00:11:44.7320000,00:00:00,00:00:39.0970000,STEAM,
9,TerryMakichut,ŠKODA Fabia RS Rally2,00:11:44.7820000,00:00:00,00:00:39.1470000,STEAM,
10,BartasLT,ŠKODA Fabia RS Rally2,00:12:00.7530000,00:00:00,00:00:55.1180000,XBOX,
11,-Aleliumbas-,Hyundai i20 N Rally2,00:12:06.2730000,00:00:00,00:01:00.6380000,STEAM,
12,Wycka2007,Toyota GR Yaris Rally2,00:12:11.0590000,00:00:00,00:01:05.4240000,PSN,
13,Justokas,Volkswagen Polo GTI R5,00:12:41.9580000,00:00:18,00:01:36.3230000,STEAM,
14,laapiuks,ŠKODA Fabia RS Rally2,00:13:26.2240000,00:00:56,00:02:20.5890000,EA,
15,gruduvinis,Ford Fiesta Rally2,00:13:35.1780000,00:00:00,00:02:29.5430000,STEAM,
16,citradex,Hyundai i20 N Rally2,00:13:42.4280000,00:00:00,00:02:36.7930000,STEAM,
17,z3pis,WRC2 Builder Vehicle,00:14:27.3520000,00:01:30,00:03:21.7170000,STEAM,
18,DonKac11,Toyota GR Yaris Rally2,00:25:00,00:25:00,00:13:54.3650000,PSN,
