Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,LtuDK,WRC2 Builder Vehicle,00:05:10.3560000,00:00:00,00:00:00,STEAM,
2,Eddie_Race,Toyota GR Yaris Rally2,00:05:20.0900000,00:00:00,00:00:09.7340000,STEAM,
3,RallyFanatikai,Toyota GR Yaris Rally2,00:05:21.3160000,00:00:00,00:00:10.9600000,STEAM,
4,DonKac11,Toyota GR Yaris Rally2,00:05:24.7790000,00:00:00,00:00:14.4230000,PSN,
5,ItalasLT,Volkswagen Polo GTI R5,00:05:34.3660000,00:00:00,00:00:24.0100000,STEAM,
6,-Aleliumbas-,Hyundai i20 N Rally2,00:05:41.6020000,00:00:00,00:00:31.2460000,STEAM,
7,BartasLT,ŠKODA Fabia RS Rally2,00:05:43.0900000,00:00:00,00:00:32.7340000,XBOX,
8,laapiuks,ŠKODA Fabia RS Rally2,00:06:23.3920000,00:00:05,00:01:13.0360000,EA,
9,vadishius,Toyota GR Yaris Rally2,00:16:00,00:16:00,00:10:49.6440000,STEAM,
10,Justokas,Volkswagen Polo GTI R5,00:16:00,00:16:00,00:10:49.6440000,STEAM,
11,Ged256,Ford Fiesta Rally2,00:16:00,00:16:00,00:10:49.6440000,STEAM,
12,Rebl11,Toyota GR Yaris Rally2,00:16:00,00:16:00,00:10:49.6440000,STEAM,
13,Liekorius,Toyota GR Yaris Rally2,00:16:00,00:16:00,00:10:49.6440000,STEAM,
14,1a3043f34a1c9bdd,Ford Fiesta Rally2,00:16:00,00:16:00,00:10:49.6440000,STEAM,
15,PALiX00,ŠKODA Fabia RS Rally2,00:16:00,00:16:00,00:10:49.6440000,STEAM,
16,citradex,ŠKODA Fabia RS Rally2,00:16:00,00:16:00,00:10:49.6440000,STEAM,
17,Pablitas555,ŠKODA Fabia RS Rally2,00:16:00,00:16:00,00:10:49.6440000,PSN,
18,gruduvinis,ŠKODA Fabia RS Rally2,00:16:00,00:16:00,00:10:49.6440000,STEAM,
