Rank,DisplayName,Vehicle,Time,TimePenalty,DifferenceToFirst,Platform,
1,Rebl11,Toyota GR Yaris Rally2,00:11:55.2680000,00:00:00,00:00:00,STEAM,
2,DonKac11,Toyota GR Yaris Rally2,00:12:03.0400000,00:00:00,00:00:07.7720000,PSN,
3,LtuDK,WRC2 Builder Vehicle,00:12:11.3770000,00:00:00,00:00:16.1090000,STEAM,
4,AlfaaLTU,Hyundai i20 N Rally2,00:12:13.2760000,00:00:00,00:00:18.0080000,PSN,
5,RallyFanatikai,Toyota GR Yaris Rally2,00:12:19.6800000,00:00:06,00:00:24.4120000,STEAM,
6,PALiX00,ŠKODA Fabia RS Rally2,00:12:20.2010000,00:00:00,00:00:24.9330000,STEAM,
7,Pablitas555,Toyota GR Yaris Rally2,00:12:23.8170000,00:00:00,00:00:28.5490000,PSN,
8,BartasLT,ŠKODA Fabia RS Rally2,00:12:29.9630000,00:00:00,00:00:34.6950000,XBOX,
9,Liekorius,Toyota GR Yaris Rally2,00:12:30.7460000,00:00:00,00:00:35.4780000,STEAM,
10,-Aleliumbas-,Hyundai i20 N Rally2,00:12:50.2290000,00:00:00,00:00:54.9610000,STEAM,
11,MartynasLy,Toyota GR Yaris Rally2,00:12:58.6200000,00:00:00,00:01:03.3520000,XBOX,
12,ItalasLT,Ford Fiesta Rally2,00:12:59.8210000,00:00:00,00:01:04.5530000,STEAM,
13,Justokas,Volkswagen Polo GTI R5,00:13:00.2760000,00:00:00,00:01:05.0080000,STEAM,
14,TerryMakichut,ŠKODA Fabia RS Rally2,00:13:03.9000000,00:00:00,00:01:08.6320000,STEAM,
15,Wycka2007,Toyota GR Yaris Rally2,00:13:14.8580000,00:00:00,00:01:19.5900000,PSN,
16,Ged256,Ford Fiesta Rally2,00:13:29.7870000,00:00:00,00:01:34.5190000,STEAM,
17,Rytisklim,Ford Fiesta Rally2,00:13:44.1440000,00:00:00,00:01:48.8760000,STEAM,
18,GOBOO23,ŠKODA Fabia RS Rally2,00:13:56.7120000,00:00:30,00:02:01.4440000,STEAM,
19,z3pis,ŠKODA Fabia Rally2 Evo,00:13:57.9990000,00:00:36,00:02:02.7310000,STEAM,
20,gruduvinis,Hyundai i20 N Rally2,00:14:38.3010000,00:00:00,00:02:43.0330000,STEAM,
